"Name","GlobalID","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","EarlyExportName","EarlyExportNameMaxTownHall","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","AreEdgesUnpassableByVillagers","ExportNameBuildAnim","ExportNameUpgradeAnim","AlternateExportName","AlternateUpgradeExportName","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","HeroTavern","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","NormalModeTID","AlternateModeTID","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","AltCoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainShootingDistance","ChainAttackDistance","ChainAttackDepth","ChainAttackFactor","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","Pushback","PushbackTime","PushbackHousingLimit","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","HousesGuardians","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopDynamic","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCostDivisor","ActivateCombatOnDamageTaken","ActivateAfterSeconds","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","RandomizeTarget","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","PreviewScenarioUpgradePreview","PreviewScenarioUpgrading","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SecondaryTroopAttacker","SpawnTimer","SpawnOnAttack","SummonTroopCount","HealthRecoveryPercent","MergeRequirement","ProjectileBounces","UseCustomCornerPiecesInEnds","UseCustomCornerPiecesInTurns","UseCustomCornerPiecesInTJunctions","DieSpellAttacker","MiniLevels","StatBars","RetargetAfterHit","AltModeStatBars","SpecialAbilities","SpecialAbilitiesLevel","SeasonalDefense","Animation","UseBattleIdleAnimation","Building3D","TargetingImmunitySiegeMachines","TargetingImmunityHeroes","TargetingImmunityOtherCharacters","TargetingImmunityTH_CC","TargetingImmunityStorages","TargetingImmunityWalls","TargetingImmunityOtherBuildings","TargetingImmunityTotems"
"Dark Elixir Drill",1000023,1,"TID_BUILDING_DARK_ELIXIR_PUMP","TID_DARK_ELIXIR_PUMP_INFO","Resource",,,"sc/buildings.sc","darkelixir_pump_lvl1",,"darkelixir_pump_const",,,,0,4,0,0,"Elixir",180000,7,7,3,3,,,"darkelixir_pump_upg",,,,,,,,,,,,,,,,,,,,,,,,,,,"DarkElixir",2000,160,1,,,,,7,,800,15,,,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,,,"destroyedBuilding_3s_pit_rock",2,2,,"dark_elixir_pump_base",,,,,,,,,,,,,,,,,,,,,"Dark Elixir Drill Pickup","Dark Elixir Drill Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,"NoCombatBuilding",,,,,,,,,,,,,,,,,,,,,"Dark Elixir Drill Mini Levels",,,,,,,,,,,,,,,,,
,,2,,,,,,,"darkelixir_pump_lvl2",,,,,,0,6,0,0,,270000,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,300,1,,,,,10,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"darkelixir_pump_lvl3",,,,,,0,12,0,0,,540000,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,540,1,,,,,15,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"darkelixir_pump_lvl4",,,,,,0,18,0,0,,900000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,840,2,,,,,20,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"darkelixir_pump_lvl5",,,,,,1,0,0,0,,1200000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,1280,2,,,,,25,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"darkelixir_pump_lvl6",,,,,,1,12,0,0,,1800000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1800,3,,,,,30,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"darkelixir_pump_lvl7",,,,,,1,18,0,0,,2100000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,2400,4,,,,,35,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"darkelixir_pump_lvl8",,,,,,2,0,0,0,,2400000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,3000,5,,,,,40,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"darkelixir_pump_lvl9",,,,,,2,12,0,0,,3700000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,3600,6,,,,,45,,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,"darkelixir_pump_lvl10",,,,,,3,0,0,0,,5300000,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,4200,7,,,,,50,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"darkelixir_pump_lvl11",,,,,,6,0,0,0,,12000000,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,4600,8,,,,,55,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Army Camp",1000000,1,"TID_BUILDING_HOUSING","TID_HOUSING_INFO","Army",,,"sc/buildings.sc","fireplace_lvl1",,"fireplace_const",,,,0,0,1,0,"Elixir",200,1,1,4,4,,,"fireplace_upg",,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,100,15,,,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",2,2,,"fireplace_lvl1_base",,,,,,,,,,,,,,,,,,,,,"Troop Housing Pickup","Troop Housing Placing",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,"NoCombatBuilding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,"fireplace_lvl2",,,,,,0,0,5,0,,2000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl2_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"fireplace_lvl3",,,,,,0,0,30,0,,10000,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl3_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"fireplace_lvl4",,,,,,0,2,0,0,,100000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl4_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"fireplace_lvl5",,,,,,0,6,0,0,,250000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl5_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"fireplace_lvl6",,,,,,0,12,0,0,,500000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4s_pit_none",,,,"fireplace_lvl6_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"fireplace_lvl7",,,,,,2,0,0,0,,1500000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_pit_rock",,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"fireplace_lvl8",,,,,,3,0,0,0,,2500000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"fireplace_lvl9",,,,,,3,12,0,0,,4200000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,"fireplace_lvl10",,,,,,4,0,0,0,,4500000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"fireplace_lvl11",,,,,,5,0,0,0,,7500000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,"fireplace_lvl12",,,,,,6,0,0,0,,10000000,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,"fireplace_lvl13",,,,,,7,12,0,0,,17000000,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,"fireplace_lvl14",,,,,,15,0,0,0,,26000000,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl14_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laboratory",1000007,1,"TID_BUILDING_LABORATORY","TID_LABORATORY_INFO","Army",,,"sc/buildings.sc","laboratory_lvl1",,"laboratory_const",,,,0,0,1,0,"Elixir",5000,3,3,3,3,,,"laboratory_upg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNIT",,,,,500,15,,,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,,,"destroyedBuilding_3m_round_pit_rock",3,3,,"laboratory_base",,,,,,,,,,,,,,,,,,,,,"Training Barrack Pickup","Training Barrack Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,"NoCombatBuilding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,"laboratory_lvl2",,,,,,0,0,30,0,,25000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_3m_round_rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,"laboratory_lvl3",,,,,,0,2,0,0,,50000,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,"laboratory_lvl4",,,,,,0,4,0,0,,100000,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,"laboratory_lvl5",,,,,,0,8,0,0,,200000,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,"laboratory_lvl6",,,,,,0,16,0,0,,400000,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,"laboratory_lvl7",,,,,,1,0,0,0,,800000,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,"laboratory_lvl8",,,,,,1,18,0,0,,1300000,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,"laboratory_lvl9",,,,,,2,18,0,0,,2100000,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,"laboratory_lvl10",,,,,,4,0,0,0,,3800000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,"laboratory_lvl11",,,,,,6,0,0,0,,5500000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
